#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
1864,"
Viola sylvestris Lam.
",VIOLACEAE,Wood violet (Eng.),  
1865,"
Viola tricolor L.
",VIOLACEAE,Garden Pansey (Eng.),  
1866,"
Viscum articulatum Burm.f.
",LORANTHACEAE,"Budu, Pand",  
1867,"
Viscum monoicum Roxb. ex DC.
",LORANTHACEAE,Kuchle-ka-malang,  
1868,"
Viscum orientale Willd.
",LORANTHACEAE,Baandaa,  
1869,"
Vitex agnus-castus L.
",VERBENACEAE,Monk's Pepper-Tree (Eng.),  
1870,"
Vitex glabrata R.Br.
",VERBENACEAE,Bhadu (Bihar),  
1871,"
Vitex leucoxylon L.f.
",VERBENACEAE,Sherus (Mar.),  
1872,"
Vitex negundo L.
",VERBENACEAE,"Nirgundi, Sambhalu (Punjabi)",  
1873,"
Vitex peduncularis Wall. ex Schauer
",VERBENACEAE,"Minjurgorwa, Nagpheni",  
1874,"
Vitex pinnata L.
",VERBENACEAE,Nowlieragu (Tel.),  
1875,"
Vitex trifolia L.
",VERBENACEAE,"Pani-ki-sanbhalu, Sufed-sanbhalu",  
1876,"
Vitis vinifera L.
",VITACEAE,Angur dakh,  
1877,"
Wagatea spicata Dalzell
",CAESALPINIACEAE,Wakeri (Mar.),  
1878,"
Waltheria indica L.
",STERCULIACEAE,Khar dudhi (Beng.),  
1879,"
Wattakaka volubilis (L.) Stapf
",ASCLEPIADACEAE,Nak-chhikni,  
1880,"
Wedelia biflora (L.) DC.
",ASTERACEAE,Sonki (Beng.),  
1881,"
Wedelia chinensis (Osbeck) Merr.
",ASTERACEAE,"Bhanra, Bhangra",  
1882,"
Wedelia wallichii Less.
",ASTERACEAE,Parbatijeera (Oriya),  
1883,"
Wikstroemia indica (L.) C.A.Mey.
",THYMELAEACEAE,Small-Leaf Salago (Eng.),  
1884,"
Withania coagulans (Stocks) Dunal
",SOLANACEAE,"Akri, Punir",  
1885,"
Withania somnifera (L.) Dunal
",SOLANACEAE,"Punir, Asgandh",  
1886,"
Woodfordia fruticosa (L.) Kurz
",LYTHRACEAE,"Dhai, Dhava",  
1887,"
Wrightia tinctoria R.Br.
",APOCYNACEAE,"Indrajau, Mitha-indrajau",  
1888,"
Wrightia tomentosa (Roxb.) Roem. & Schult.
",APOCYNACEAE,"Dudhi, Dharauli",  
1889,"
Xanthium strumarium L.
",ASTERACEAE,"Banokra, Gokhru",  
1890,"
Xeromphis spinosa (Thunb.) Keay
",RUBIACEAE,Mainphal,  
1891,"
Xeromphis uliginosa (Retz.) Maheshw.
",RUBIACEAE,"Pindalu, Panar",  
1892,"
Ximenia americana L.
",OLACACEAE,Kondanakkera (Tel.),  
1893,"
Xylia xylocarpa (Roxb.) Taub.
",MIMOSACEAE,"Jambu, Suria",  
1894,"
Yucca aloifolia L.
",LILIACEAE,Adam's Needle (Eng.),  
1895,"
Yucca gloriosa L.
",LILIACEAE,Yucca (Marathi),  
1896,"
Zanonia indica L.
",CUCURBITACEAE,"Chirpoti, Patakona",  
1897,"
Zanthoxylum acanthopodium DC.
",RUTACEAE,"Darmar, Nepali Dhaniya",  
1898,"
Zanthoxylum armatum DC.
",RUTACEAE,"Timbur, Timur",  
1899,"
Zanthoxylum nitidum (Roxb.) DC.
",RUTACEAE,Tezamul (Assam),  
1900,"
Zanthoxylum ovalifolium Wight
",RUTACEAE,Armadalu (Kan.),  
1901,"
Zanthoxylum oxyphyllum Edgew.
",RUTACEAE,Mezenga (Assam),  
1902,"
Zanthoxylum rhetsa (Roxb.) DC.
",RUTACEAE,Badrang,  
1903,"
Zataria multiflora Boiss.
",LAMIACEAE,Saatar (Urdu),  
1904,"
Zeuxine strateumatica (L.) Schltr.
",ORCHIDACEAE,Swethuli (Beng.),  
1905,"
Zingiber montanum (Koen.) Link ex A.Dietr.
",ZINGIBERACEAE,Ban-ada,  
1906,"
Zingiber officinale Roscoe
",ZINGIBERACEAE,Adrak,  
1907,"
Zingiber zerumbet (L.) Sm.
",ZINGIBERACEAE,Gada (Local Name),  
1908,"
Ziziphus glabrata Heyne ex Roth
",RHAMNACEAE,Vatadalla (Sans.),  
1909,"
Ziziphus jujuba Mill.
",RHAMNACEAE,"Pitni-ber, kandika",  
1910,"
Ziziphus mauritiana Lam.
",RHAMNACEAE,"Baer, Ber",  
1911,"
Ziziphus nummularia (Burm.f.) Wight & Arn.
",RHAMNACEAE,Jharberi,  
1912,"
Ziziphus oenoplia (L.) Mill.
",RHAMNACEAE,Makai,  
1913,"
Ziziphus rugosa Lam.
",RHAMNACEAE,Churna,  
1914,"
Zornia gibbosa Span.
",FABACEAE,Samrapani (Guj.),  
1915,"
Zygophyllum simplex L.
",ZYGOPHYLLACEAE,Alethi (Punjab),  
